"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5350577.02","535","Toronto","0577.02",1840.00,1435.00,127000.00
"5350577.03","535","Toronto","0577.03",2135.00,1665.00,139000.00
"5350577.04","535","Toronto","0577.04",2110.00,1790.00,172000.00
"5350577.05","535","Toronto","0577.05",1820.00,1450.00,134000.00
"5350577.06","535","Toronto","0577.06",1975.00,1550.00,158000.00
"5350577.07","535","Toronto","0577.07",1380.00,1055.00,122000.00
"5350577.08","535","Toronto","0577.08",1655.00,1270.00,135000.00
"5350577.09","535","Toronto","0577.09",1045.00,755.00,119000.00
"5350585.02","535","Toronto","0585.02",2480.00,2185.00,125000.00
"5350585.03","535","Toronto","0585.03",1950.00,1755.00,118000.00
"5350585.05","535","Toronto","0585.05",2435.00,2100.00,141000.00
"5350585.07","535","Toronto","0585.07",2425.00,2190.00,142000.00
"5350585.08","535","Toronto","0585.08",1455.00,1240.00,174000.00
